Age Group,Job,Marital,Education,Default,Balance Group,Month,Response Rate
50+,management,married,tertiary,no,medium,may,0
40+,technician,single,secondary,no,low,may,0
30+,entrepreneur,married,secondary,no,low,may,0
40+,blue-collar,married,unknown,no,medium,may,0
30+,unknown,single,unknown,no,low,may,0
30+,management,married,tertiary,no,low,may,0
20+,management,single,tertiary,no,low,may,0
40+,entrepreneur,divorced,tertiary,yes,low,may,0
50+,retired,married,primary,no,low,may,0
40+,technician,single,secondary,no,low,may,0
40+,admin.,divorced,secondary,no,low,may,0
20+,admin.,single,secondary,no,low,may,0
50+,technician,married,secondary,no,low,may,0
50+,technician,married,unknown,no,low,may,0
50+,services,married,secondary,no,low,may,0
50+,retired,married,primary,no,low,may,0
40+,admin.,single,unknown,no,low,may,0
50+,blue-collar,married,primary,no,low,may,0
60+,retired,married,primary,no,low,may,0
30+,services,married,secondary,no,low,may,0
20+,blue-collar,married,secondary,no,low,may,0
50+,management,married,tertiary,no,low,may,0
30+,blue-collar,single,primary,no,low,may,0
20+,services,married,secondary,no,low,may,0
40+,retired,married,primary,no,low,may,0
40+,admin.,married,secondary,no,low,may,0
30+,management,single,tertiary,no,low,may,0
50+,entrepreneur,married,secondary,no,low,may,0
40+,management,single,secondary,no,low,may,0
30+,technician,single,secondary,no,low,may,0
50+,technician,married,secondary,no,low,may,0
40+,management,married,tertiary,no,low,may,0
60+,admin.,married,secondary,no,low,may,0
50+,blue-collar,married,secondary,no,low,may,0
50+,management,married,tertiary,no,high,may,0
50+,technician,divorced,secondary,no,low,may,0
20+,blue-collar,married,secondary,no,low,may,0
50+,technician,married,secondary,no,low,may,0
30+,admin.,divorced,secondary,no,low,may,0
30+,admin.,single,secondary,no,low,may,0
40+,services,divorced,secondary,no,medium,may,0
50+,management,married,secondary,no,low,may,0
60+,blue-collar,married,unknown,no,low,may,0
50+,retired,married,secondary,no,low,may,0
50+,retired,married,unknown,no,low,may,0
30+,admin.,single,primary,no,low,may,0
50+,self-employed,married,tertiary,no,low,may,0
40+,technician,married,secondary,no,low,may,0
50+,technician,divorced,secondary,no,low,may,0
20+,management,single,tertiary,no,low,may,0
50+,blue-collar,married,secondary,no,medium,may,0
40+,management,divorced,tertiary,no,low,may,0
30+,management,married,tertiary,no,low,may,0
40+,admin.,single,secondary,no,low,may,0
20+,technician,single,secondary,no,low,may,0
30+,entrepreneur,single,tertiary,no,low,may,0
30+,management,single,tertiary,no,low,may,0
40+,blue-collar,married,unknown,no,low,may,0
40+,blue-collar,single,unknown,no,low,may,0
40+,services,married,primary,no,low,may,0
30+,admin.,married,tertiary,no,low,may,0
50+,technician,divorced,secondary,no,low,may,0
50+,blue-collar,married,primary,no,low,may,0
30+,services,married,secondary,no,low,may,0
40+,blue-collar,married,unknown,no,low,may,0
50+,management,married,tertiary,no,medium,may,0
60+,retired,married,tertiary,no,low,may,0
50+,management,divorced,tertiary,no,low,may,0
50+,technician,married,secondary,no,medium,may,0
30+,blue-collar,single,secondary,no,high,may,0
50+,blue-collar,married,secondary,no,medium,may,0
30+,services,married,secondary,no,low,may,0
50+,management,married,secondary,no,low,may,0
50+,blue-collar,married,primary,no,low,may,0
40+,technician,married,secondary,no,medium,may,0
50+,technician,married,secondary,no,low,may,0
40+,blue-collar,married,secondary,no,low,may,0
50+,services,divorced,secondary,no,low,may,0
40+,services,divorced,secondary,no,low,may,0
50+,services,divorced,secondary,yes,low,may,0
40+,admin.,single,secondary,no,low,may,0
40+,services,divorced,secondary,no,low,may,0
40+,technician,single,secondary,no,low,may,0
50+,admin.,married,secondary,no,medium,may,1
40+,self-employed,married,tertiary,no,low,may,0
50+,blue-collar,married,primary,no,low,may,0
50+,admin.,married,secondary,no,low,may,1
40+,technician,married,secondary,no,medium,may,1
40+,management,divorced,secondary,no,low,may,0
50+,retired,married,secondary,no,low,may,0
40+,management,single,secondary,no,low,may,0
30+,technician,married,secondary,no,low,may,0
60+,admin.,married,secondary,no,low,may,0
60+,blue-collar,married,unknown,no,low,may,0
50+,entrepreneur,divorced,secondary,no,low,may,0
30+,management,married,tertiary,no,low,may,0
50+,blue-collar,married,secondary,no,low,may,0
60+,retired,married,tertiary,no,low,may,0
30+,technician,married,secondary,no,low,may,0
40+,management,married,tertiary,no,low,may,0
40+,blue-collar,married,secondary,no,low,may,0
50+,blue-collar,married,primary,no,low,may,0
50+,blue-collar,married,primary,no,low,may,0
50+,blue-collar,married,primary,no,low,may,0
20+,technician,single,tertiary,no,low,may,0
40+,blue-collar,married,secondary,no,low,may,0
40+,technician,married,tertiary,no,low,may,0
30+,admin.,married,secondary,no,low,may,0
50+,retired,single,secondary,no,low,may,0
40+,management,married,tertiary,no,low,may,0
20+,services,divorced,secondary,no,low,may,0
40+,technician,divorced,secondary,no,low,may,0
50+,self-employed,married,primary,no,low,may,0
30+,blue-collar,married,primary,no,low,may,0
50+,retired,divorced,primary,no,low,may,0
40+,blue-collar,married,secondary,no,low,may,0
40+,admin.,married,secondary,no,low,may,0
30+,management,single,tertiary,no,low,may,0
50+,management,divorced,tertiary,no,low,may,0
50+,technician,married,primary,no,low,may,0
50+,technician,divorced,unknown,no,low,may,0
50+,blue-collar,married,secondary,no,low,may,0
30+,admin.,married,unknown,no,low,may,0
40+,services,married,secondary,no,low,may,0
50+,technician,married,tertiary,no,low,may,0
30+,technician,single,secondary,no,low,may,0
20+,admin.,single,secondary,no,low,may,0
30+,services,married,secondary,no,low,may,0
30+,blue-collar,married,secondary,no,low,may,0
50+,services,married,secondary,no,medium,may,1
50+,management,married,unknown,no,medium,may,0
30+,admin.,single,secondary,no,low,may,0
30+,technician,single,secondary,no,medium,may,0
50+,admin.,single,secondary,no,low,may,0
20+,unemployed,single,tertiary,no,low,may,0
20+,blue-collar,married,secondary,no,low,may,0
30+,technician,single,secondary,no,low,may,0
40+,services,single,unknown,no,low,may,0
30+,blue-collar,married,secondary,no,low,may,0
